"Oeuvres
PORTIQUES
De boileau
DES"
"V. FOULQUE'R
Tours
ALFRED"
MAME ET
CC 1.X
"X
"
"È TIQUES
De boileau
Oeuvres
POÉTIQUES
De boileau
^t^"
^JEB NOTICES
A M.
"V. FOULQUIER
"
MAME ET
M D C C
X X
Etienne Bouleaux
Bouleau
saint Louis
Paris
Paris
saint Louis
Joinville
Estienne
Paris
Paris
Paris
Angers
Touraine
Paris
Paris
"Horace.
BOILEAU"
Nicolas
Paris
Gilles Boileau
Jean Boileau
Anne de Nielle
Gilles Boileau
Jacques Boileau
"collège d’Harcourt ;
"
Beauvais
Helvétius
Boileau
Inde
Helvétius
Despréaux
Beauvais
Beauvais
Euripide
Boileau
Paris
"Despréaux : ce Pour
ce Colin"
Nicolas
Despréaux
Sorbonne
Saint-Patern
Sorbonne
A
Horace
Paris
Despréaux
Paris
Boileau
Boileau
Boileau
Malherbe
Rambouillet
Chapelain
Boileau
Chapelain
Boileau
"Discours au roi
furent"
Boileau
Louis XIV
Boileau
duc de Vicomte
Louis XIV
Louis Racine
"Mémoires sur la vie de
son père"
II
Le roi
contreît
Molière
Molière
Molière
"Despréaux, jeune"
Louis XIV
Britanniques
Épîtrè
Louis XIV
Boileau
Épîtè
Rhin
.de
Épîtres
Boileau
ARt
Boileau
VEîle
Horace
"Lutin,"
Boileau
Lutin
Racine
Racine
Epîtres et du Lutin
Louis XIV
campagne de
Gand
Louis XIV
Boileau
"Sire,"
Boileau
Académie française
Racine
Académie
Fontaine
Louis XIV
Boileau
Académie
Fontaine
Académie
Saint-Culaire
M. de Saint-Culaire
Boileau
Despréaux
Médailles
Louis le Grand
Racine
Mme de Montespan
Mme de Maintenon
Mme de Montespan
Boileau
Mme de Maintenon
Racine
Boileau
"Mme de
Maintenon"
Scarron
Scarron
Racine
Louis XIV
Louis XIV
Boileau
Boileau
Votre Majesté 
elle.y
Le roi
"Votre Majesté, dit un jour
ce Despréaux"
l’Europe
A
Port-Royal
Louis XIV
Despréaux
Le roi
M. Arnauld
Boileau
Horace
Prise de Namur
Pindare
Art poétique
Despréaux
Bossuet
Renaudot
Auteuil
M. Despréaux
AMour de Dieu
Meaux
Église
Molière
Louis XIV
la Bruyère
Bourdaloue
Antoine Arnauld
Fontaine
Art poétique
Racine
Boileau
Racine
Boileau
Racine
Nathalie
