b,l,a,	
"Oeuvres
POETIQUES
De boileau
DES"
"V. FOULQUIE'R
Tours
ALFRED"
MAME ET
CC 1.X
"X
"
"È TIQUES
De boileau
Oeuvres
POÉTIQUES
De boileau
^t^"
^JEB
AR
"V. FOULQUIER
"
MAME ET
M D C C
X X
Etienne Boyleaux
Boyleaue
saint Louis
Paris
Paris
saint Louis
Joinville
Estienne Boyleaue
Paris
osast
Paris
Paris
Angers
Touraine
Paris
Paris
"Horace.
BOILEAU"
Nicolas
Paris
Gilles Boileau
Jean Boileau
Anne de Nielle
Gilles Boileau
Jacques Boileau
"collège d’Harcourt ;
"
Beauvais
Helvétius
Boileau
Inde
Helvétius
Despréaux
Beauvais
Beauvais
Euripide
Boileau
Paris
"Despréaux : ce Pour
ce Colin"
Nicolas
Despréaux
Sorbonne
Saint-Paterne
Sorbonne
A
Horace
Paris
Despréaux
Paris
Boileau
Boileau
Boileau
Malherbe
Rambouillet
Chapelain
Boileau
Chapelain
Boileau
"Discours au roi
furent"
Boileau
Louis XIV
Boileau
Louis XIV
Louis Racine
"Mémoires sur la vie de
son père"
II
Le roi
Molière
Molière
"Despréaux, jeune"
Louis XIV
Britannicus
Épîtrè
Louis XIV
Boileau
Épîtrè
Rhin
.de
Épîtres
Boileau
VArt
Boileau
VEpîlre
Pisons
Horace
Boileau
Lutrin
Racine
Racine
Epîtres et du Lutrin
Louis XIV
campagne de
Gand
Louis XIV
Boileau
"Sire,"
Boileau
Académie française
Racine
Académie
Fontaine
Louis XIV
Boileau
Académie
Fontaine
Académie
marquis de Saint-Aulaire
M. de Saint-Aulaire
Boileau
Despréaux
Médailles
Louis le Grand
Racine
Mme de Montespan
Mme de Maintenon
Mme de Montespan
Boileau
Mme de Maintenon
Racine
Boileau
"Mme de
Maintenon"
Scarron
Scarron
Racine
Louis XIV
Louis XIV
Boileau
Boileau
Votre Majesté ;
elle.y
Le roi
"Votre Majesté, dit un jour
ce Despréaux"
Europe
A
Port-Royal
Louis XIV
Despréaux
Le roi
M. Arnauld
Boileau
Horace
Prise de Namur
Pindare
Art poétique
Despréaux
Bossuet
Renaudot
Auteuil
M. Despréaux
VAmour
Dieu
Meaux
Église
Molière
Louis XIV
la Bruyère
Bourdaloue
Antoine Arnauld
Fontaine
Art poétique
Racine
Boileau
Racine
Boileau
Racine
Athalie
Boileau
Athalie
Despréaux
Racine
Cid
Colbert
Corneille
Sublime : le gentilhomme
"Traité du sublime,
de"
Longin
Despréaux
Racine
Pourvu
Chantilly Condé
Enghien
Colbert
"Vivonne,
Que la Rochefoucauld"
Massillon
"Pomponne,
Et mille autres"
A
Boileau
Descartes
Boileau
"Louis XIV
la mort"
Racine
Phèdre
ftAthalie
Despréaux
Racine
Boileau
"Horace, sa
maison des champs ;"
Auteuil
Tibur
Racine
Auteuil
Brossette
Archimède
Syracuse
Ton
"Les Pradons
ce dont nous nous sommes"
nesse
Boileau
Paris
cloître Notre-Dame
Boileau
SainteChapelle
Petits - Augustins
Saint-Germain-des-Prés
Boileau
"Code pénal : ces ardeurs
ennemies"
Boileau
Boileau
Boileau
"Horace, si corrompu et si habile"
Louis XIV
Boileau
Brutus
bataille de Philippes
Ovide
Cicéron
Boileau
Boileau
Lucilius
Scipion
Boileau
Perse
Néron
Boileau
Tacite
Juvénal
Boileau
Boileau
Prefaces de boileau
LIBRAIRE
Jugement sur les sciences
Joint
Parnasse
Muses
Juvénal
"Horace ;
mais, tout bien"
"Preface ii
EDITIONS DE"
IN-4o.
ET
"PETIT IN-12
AU"
"Art
poétique"
Longin
Poétique
"Préface iii
ÉDITIONS DE 1674 ET"
Poétique
Poétique
"Horace, ils ne peuvent pas faire un plus bel"
Preface
ET
Chapelain
M. Q
Virgile
Saint-Amand
"Scudéri,
et de plusieurs autres"
Académie
poëme du Lutrin
Avis
Preface
APRÈS LA IV
M. P.
Chapelain
Cotin
"Louis
le Grand"
France
Chapelain
Cotin
M. P.
M. P.
Réflexions critiques
Longin
Namur
Réflexions critiques
Longin
Dialogues
M. P.
M. Lenglet
M. Rollin
Fraguier
Zoïle
Catulle
Catulle
cle la Landelle
"Preface vi
EDITION DE"
Louis
duc d’Orléans
Orléans
État
Théophile
"Pyrame et Thisbé, lorsque cette malheureuse
amante"
Pyrame
voicy
II
Métamorphoses
Jupiter
Fable
eL
Virgile
Lucain
M. de Valincour
M. Perrault
M.
Ericeira
"Art poétique faite
par"
Lisbonne
M. Arnauld
M. P
épître A
"M. POUJODLAT
En"
Boileau
Discours au roi
Louis XIV
cardinal Mazarin
Boileau
Charpentier
Églogue royale ;
Louis XIV
Nec
Despréaux
Alexandre le Grand
Entreprît
Apelle
Boileau
Louis XIV
Si mon coeur
Boileau
Tage
Tibre
Tibre
Louis XIV
Alexandre VII
duc de Beaufort
Gigelli
de France
Feuillade
Saint-Godard
Turcs
Allemands
Indes
"Discours au roi
Jeune et vaillant héros"
Soutiens
Balance
Fuit
Touchant
Osent
Charpentier
"Églogue royale.
Et mêle"
Hélicon
Fut
Soeurs la fable
Calliope
Pégase
Te
"Parnasse,
On dirait qu’ils"
Apollon
Phébus
Ourse
Donne un lustre éclatant
Pourrir
A
Languirait
Veuille
Apollon
Pelletiers
Corneilles
Auguste
Entreprît
Phébus
"mont des neuf Soeurs,
Attendant"
"Va, la foudre"
Qui du butin des fleurs
muse
Ne vienne
i Alexandre le Grand
Font d’abord
Paris
Dieu
Tartufe 2
Molière
Atlas
Si mon coeur
Démocrite
Tartufe.
"DISCOURS AU ROI 41
Faire honte"
Fouler
Tage
"Tibrei,
Nous faire de la mer"
Rendre
La France
"Fortune,
Et nos vaisseaux, domptant"
Neptune
Phébus
Ma muse
Le roi
Rome
Londres
Turcs
Raab
"M. POUJOULAT
"
Régnier
Molière
Régnier
Boileau
"Horace
et de"
Juvénal
Juvénal
Boileau
Umbricius
Juvénal
Rome
Cumes
porte Capène
Rome
Juvénal
Paris
Boileau
Paris
Damon
Damon
Paris
Boileau
François Cassandre
Rhétorique
Aristote
François Cassandre
Juvénal
"Proponimus illuc
Ire"
Dum
Dum superest
Porto
nullo dextram subeunte
Dédale
Parque
Boileau
SUR LES SATIRES
Parque
Arturius
Arturius
Catulus
George
George
George
Rome
Quid Romae
Paris
Rolet
Boileau
Rolet
Juvénal
Colletet
Crotté
Académie française
François Colletet
Paris
Espagne
Paris
Guillaume Colletet
Boileau
"Guillaume
Colletet"
cardinal de Richelieu
jardin des Tuileries
Montmaur
Boileau
Colletet
Savant
Dont Montmaur
Paris
Montmaur
Quercy
Jésus
Périgueux
Rome
de France
"Repose bien doucement
Montmaur, d’heureuse mémoire,
Attendant le jugement.
D’autres noms"
Saint - Amant
Moïse
Académie française
prince de Condé
Louis XIII
Louet
Huot
le Mazier
Saint-Sorlin
Visionnaires
Boileau
Despréaux
Molière
Lucrèce
Despréaux
Horace
Molière
Despréaux
Quinault
Virgile
Boileau
Pelletier
"Scudéri, l’auteur"
Alaric
Ménage
hôtel de Rambouillet
"Angevin, érudit et conteur"
Boileau
la Fontaine
Château
Corneille
Despréaux
Horace
Nasidienus
Régnier
Boileau
Horace
"Boucingo, fameux marchand de vin ;
Villandry, un des"
Lambert
Académie française
Paris
Cotin
Trissotm des Femmes
Boileau
"Mignot, cuisinier"
Boileau
Cotin
Boileau
Boileau
Boileau
commandeur de Souvré
"duc de Mortemart
et le marquis de Sillery"
Reims
Boileau
Ronsard
Malherbe
Racan
Scudéri
Boileau
Malherbe
Ronsard
La Serre
cle Toulouse
Boileau
Amourettes. »
"Slralonice
et de"
Quinault
Boileau
Molière
abbé le Vayer
Desmarets
Visionnaires ;
Molière
Despréaux
abbé le Vayer
"École des Maris
et de l’"
École des Femmes
"Philippe de
France"
Florus
Tarsis
Zélie
Molière
"Macroton, dans l’Amour
médecin"
La Neveu
"Fredoc
tenait une salle de jeu"
Palais-Royal
"Joli, qui « perd
son temps"
Angers
Versailles
Louis XIV
Louis XIV
Boileau
marquis de Dangeau
Louis XIV
la France
Horace
Mécène
"Juvénal
est plus étendue"
Boileau
"Alfane, cheval d’un roi"
Aimon
Boileau
Juvénal
Boileau
Mercure
Paris
les Adieux d’un poëte
Paris
Rome
Boileau
Martial
Voltaire
Despréaux
Voltaire
Marmontel
Boileau
Paris
Marmontel
les Adieux du poëte
Despréaux
Paris
Despréaux
Trebatius
Horace
Horace 
Boileau
Rome
Rome
"Despréaux :
Perrin"
Enéide
France
Italie
Bonnecorse
de France
"Titreville, mince faiseur"
Boileau
Montreuil
"Mm 0 de
Sévigné"
Racine
