"Poesies
DE
Valentin
"
HENRI
PUBLIEES
MM. T. LAROUSSILHE
"Passage Choiseul
PARIS
J. GIRMA
LIBRAIRE
24"
"Boulevard Gambetta
GAHORS
M"
"DCCC LXXXV
"
Papier vélin teinté
Papier de Hollande
"Honore fils CAHORS
Poesies
DE
Valentin"
HENRI
PUBLIÉES
"Passage Choiseul
PARIS
J. GIRMA
"
"Boulevard Gambetta
CAHORS
M"
DCCC
CAHORS
Valentin
"Henri
Bourette"
la France
Contributions
Quercy
Valette
Lycée de
Cahors
"NOTICE BIOGRAPHIQUE
franchir les limites."
Réformateur du Lot
"Molière,
Racine"
Alfred de Musset
Lamartine
"Barbier,
Shakespeare"
Milton
Dante
"Le Tasse, son
père"
France
l’Afrique
Valentin
NOTICE BIOGRAPHIQUE III
Valentin
Valentin
Algérie
"IV NOTICE BIOGRAPHIQUE
des inoffensives"
Muse
Afrique
Silo
A
Marseille
de France
"Valentin
avait"
"NOTICE BIOGRAPHIQUE V
"
Afrique
Afrique
"Cour
d’appel de Saint-Denis"
Réunion
"Cahors.
Valentin"
Bordeaux
Cahors
"VI NOTICE BIOGRAPHIQUE
"
M. H. Valette
M. Delpérier
Réformateur du Lot
Mme Guilhou
M. Escoffier
Finances
"M.
Aubran,"
Cadurciens
"Réfor
mateur du 23 mai 1880"
Cahors
M. François
"Valentin, périodiquement
entraîné"
"NOTICE BIOGRAPHIQUE VII
"
Cahors
Valentin
Afrique
M. Jules Combarieu
Lazare
Racine
"VIII NOTICE BIOGRAPHIQUE
préféré"
la Marseillaise
Barbier
"Lac de Lamartine
qu’il déclamait de préférence"
"NOTICE BIOGRAPHIQUE IX
En somme"
Valentin
muscadin
La Muse
Cahors
X NOTICE
"Francis Maratuech :
nous voudrions"
Valentin
F.
MARIUS
Cahors
Grandgousier
Rabelais
Destin antique
Horace
XII
Bacchus
Cahors
César
Valentin
Pierre Gringoire
Gérard de Nerval
Bohême
Tartufe.
PREFACE
Villons
Régniers
XIV
La Fontaine
Voltaire
Musset
Valentin
Légende des Siècles
Leconte de Lisle
Emerger
"mer sereine.
La plupart"
PREFACE
Valentina
Cahors
Malherbe
Henri IV
Valentin
Valentin
XVI
Rimes
Strophes
"Montagne, appui du ciel"
"Des Dieux supérieurs séjour spirituel,
"
Centre
Kalahamsas
"Incréé,
Que lu t’élances haut"
"Wagnérienne.
"
Attendons
Epaule
dore
Viens
PREFACE
Valentin
"Valentin
avait autant de sentiment"
JULES
Cahors
"Poesies
LE DÉPART"
"UN SOLDAT
A"
Mon pauvre enfant !
Ta blonde adolescence
"Saisissant les deux mains de son père si vieux.
Pleurait"
Paraissait
Montrer
II
"Annonça tout à coup l’heure du ralliement,
Il changea de tactique"
Courut
VALENTIN
SOLDATS
Gazir
"Kreïder,
Sous un astre implacable"
Harassés
S
VALENTIN
MESSAGE ET
MOEURS
lSOLL
"Un jeune Arabe, pèlerin"
"Grand Désert
Etend"
Dit l’Arabe
A Messaouda
Porte mon amoureux message
La Mecque sainte
Aurès
Dieu
Des Haïcks
Mille
Unis
Ton bec rose
VALENTIN
Porte-moi
Allah
Dis lui… »
Fuyait
L’Arabe
"LA MARCHE MILITAIRE
LE fusil"
"Chantant à plein gosier d’énergiques refrains
Que le passant écoute"
Un beau soleil de juin
dore
Savonnettes d’acier
Au soleil
VALENTIN
"Et gémir la courroie.
"
Est
C
A
Sur les reins fatigués
Hippolyte
"Sacs et buffleteries…
Vivat !"
V ivat !
"VALENTIN II
UNE"
ESQUISSE
UN CAMP EN AFRIQUE
"Le soleil
est couché
SATURNIN
"
Albert
"Saturnin,
ue"
O
Mon vieux soldat
Afrique
Cacher
Te
VALENTIN
"Et croyant le narguer, tu bois pour t’étourdir."
Dieu
Jupin
"Fait naître après l’orgie au coeur tout attristé
L’intelligence"
la Mort
Ie
"I 5
Mais un seul suffira"
Aspire
Arrachent
Cache
"Soldats couchés
ou"
Albert
Saturnin
Un beau lit d’édredon
VALENTIN
ALBERT
Dit
Bourrant
ALBERT
"Mes beaux jours !
18 POÉSIES
Voilà ce qu’en partant"
"Saturnin
Vois"
Flatte
Tomba
Un accent faible et doux
Songe
Mouiller
"Radieux souvenir !
"
Saturnin
Vois
Sévigné
VALENTIN
Puisse t
Mon Albert
Gap !
Criminelles
A Gap
Rapide
"Va, ta petite"
Anna
O mon Albert
"Francesca, tu sais, ma soeur cadette"
Albert
Albert
VALENTIN
O
"Saturnin
Regarde"
Tordant
"Albert
Ne"
Ta
VALENTIN
Ce talisman du coeur ;
"Ecoute quelques mots :
II"
Cher
Va
Cher
Entassé
Ah !
Si je pouvais encor
Emu
VALENTIN
Repliant
siroco
Que le soleil
Arrête sur la bouche
Succède
"Un souffle de fraîcheur venu du fond des plaines,
Ranimant herbe et fleur sous de pures haleines"
Echappée
cher Saturnin
Donner
Tourne
"La Débauche, qui veille"
"Mentor,
DE VALENTIN"
Bouclons
diane
Déboucle
"Paraît sur le front de bandière ;
"
Monte
Riants souvenirs
De Géryville
Un soleil de flamme
Mes pensers
Un bon café nous attendait !
VALENTIN
O
Merveilleuse et pure
"Les Anges de la Poésie
Ouvrent un rayonnant"
France
A
O Sévigné
"Lorsque votre bouche mutine
Disait,"
Racine
O
Voltaire
Lançait
Un foyer de braise
"Petit moulin, maillet, hachette !"
Arabe
VALENTIN
"ROSE DE VOGHERA
ÉPISODE DE LA GUERRE D’ITALIE— 1859
"
"Ferdinand Laroussilhe
I"
ÉTAIT
"Voghera : pour chasser un parti
Croate, un bataillon de ligne"
Rythmant
Vieux fantassins d’Afrique
Le Devoir
"Destinée
Marquer"
Vagabonds
Arcole
"Rivoli !
Ils"
"Bardes de France
Ont"
Italie
Rouge de sang
Patrie !
Sparte
Font
Répandant
Milanaise
VALENTIN
Une rose à la main
Soupirante
Ebranler
Dont
"Et sous un souffle ardent, orageux, frénétique,
Se penchait frissonnant ce débris héroïque.
"
Flottaient
Beau
VALENTIN
Sur le ciel
Surgissait
Archange
En pleurant un beau ciel perdu
Ossian
Faust
Satan
